Date,Predicted Production,Lower Bound,Upper Bound
2026-04-01,34820.95699868246,26452.71317475806,44390.056645445344
2026-05-01,55917.28903868496,47066.28715156607,65282.196094134626
2026-06-01,34652.640673433336,25626.82867141022,43337.69974753198
2026-07-01,45839.77198890823,36878.49391040839,54989.95631876461
2026-08-01,54053.988666476645,44934.205288516256,63526.01122919271
2026-09-01,53315.58592626758,44775.87501462324,62217.1194811999
2026-10-01,1.0,1.0,1.0
2026-11-01,53670.40918211655,44499.92094422829,63065.55476086869
2026-12-01,53028.62106349472,44183.59234576667,62610.28870432516
2027-01-01,60657.17799466101,51574.942623244955,70298.07304430782
2027-02-01,69690.34949275447,60202.40967926876,79071.87928522106
2027-03-01,1.0,1.0,1.0
